市町村,h27,h28,対前年比
和歌山市,"6424720","6491599",101.04
海南市,"1336822","1334568",99.83
紀美野市,"533622","489214",91.68
紀の川市,"1855680","1808228",97.44
岩出市,"1030896","1267106",122.91
橋本市,"1220630","1351691",110.74
九度山町,"859889","1765829",205.36
高野町,"1991900","1760925",88.4
かつらぎ町,"878633","1157522",131.74
有田町,"283529","302211",106.59
湯浅町,"508049","500641",98.54
広川町,"162507","163012",100.31
有田川町,"839619","794428",94.62
御坊町,"234181","226674",96.79
美浜町,"19503","18910",96.96
日高町,"242800","236150",97.26
由良町,"202062","224814",111.26
日高川町,"686311","726847",105.91
みなべ町,"662965","649787",98.01
印南町,"648722","569019",87.71
田辺市,"3810087","3650588",95.81
上富田町,"325051","317333",97.63
白浜町,"3595676","3468913",96.47
すさみ町,"561618","1129857",201.18
新宮市,"1305287","1289659",98.8
那智勝浦町,"1388542","1389921",100.1
太地町,"242270","232058",95.78
古座川町,"121250","125610",103.6
北山町,"86841","88655",102.09
串本町,"1339719","1338210",99.89
